Ticker,Date,Open,High,Low,Close,Adj Close,Volume
^NSEI,2023-01-02,18131.69921875,18215.150390625,18086.5,18197.44921875,18197.44921875,256100.0
^BSESN,2023-01-02,60871.23828125,61222.7890625,60764.62890625,61167.7890625,61167.7890625,18500.0
^N100,2023-01-02,1232.6199951171875,1252.8800048828125,1232.6199951171875,1252.02001953125,1252.02001953125,0.0
^NYA,2023-01-03,15184.3095703125,15327.5302734375,15053.169921875,15154.4501953125,15154.4501953125,3959140000.0
^IXIC,2023-01-03,10562.0595703125,10613.0595703125,10309.16015625,10386.98046875,10386.98046875,4780650000.0
^FTSE,2023-01-03,7451.7001953125,7626.39990234375,7448.7001953125,7554.10009765625,7554.10009765625,914070400.0
^NSEI,2023-01-03,18163.19921875,18251.94921875,18149.80078125,18232.55078125,18232.55078125,208700.0
^BSESN,2023-01-03,61074.87890625,61343.9609375,61004.0390625,61294.19921875,61294.19921875,6700.0
000001.SS,2023-01-03,3087.510009765625,3119.860107421875,3073.050048828125,3116.510009765625,3116.510009765625,281400.0
^N100,2023-01-03,1251.97998046875,1272.93994140625,1251.449951171875,1257.3599853515625,1257.3599853515625,172781700.0
^DJI,2023-01-03,33148.8984375,33387.51953125,32850.5703125,33136.37109375,33136.37109375,355930000.0
^GSPC,2023-01-03,3853.2900390625,3878.4599609375,3794.330078125,3824.139892578125,3824.139892578125,3959140000.0
GC=F,2023-01-03,1836.199951171875,1839.699951171875,1836.199951171875,1839.699951171875,1839.699951171875,29.0
CL=F,2023-01-03,80.56999969482422,81.5,76.5999984741211,76.93000030517578,76.93000030517578,338520.0
^NYA,2023-01-04,15154.4501953125,15407.599609375,15154.4501953125,15350.2998046875,15350.2998046875,4414080000.0
^IXIC,2023-01-04,10467.8203125,10515.2197265625,10337.6396484375,10458.759765625,10458.759765625,5085380000.0
^FTSE,2023-01-04,7554.10009765625,7609.2998046875,7545.2001953125,7585.2001953125,7585.2001953125,753877000.0
^NSEI,2023-01-04,18230.650390625,18243.0,18020.599609375,18042.94921875,18042.94921875,235200.0
^BSESN,2023-01-04,61294.6484375,61327.2109375,60593.55859375,60657.44921875,60657.44921875,7900.0
^N225,2023-01-04,25834.9296875,25840.6796875,25661.890625,25716.859375,25716.859375,83300000.0
000001.SS,2023-01-04,3117.570068359375,3129.090087890625,3109.449951171875,3123.52001953125,3123.52001953125,273300.0
^N100,2023-01-04,1257.68994140625,1279.6700439453125,1257.68994140625,1279.0999755859375,1279.0999755859375,217367800.0
^DJI,2023-01-04,33165.140625,33409.1015625,33033.48046875,33269.76953125,33269.76953125,379400000.0
