Ticker,Date,Open,High,Low,Close,Adj Close,Volume
^NSEI,2020-01-01,12202.150390625,12222.2001953125,12165.2998046875,12182.5,12182.5,304100.0
^NYA,2020-01-02,13913.0302734375,14003.3896484375,13913.0302734375,14002.490234375,14002.490234375,3459930000.0
^IXIC,2020-01-02,9039.4599609375,9093.4296875,9010.8896484375,9092.1904296875,9092.1904296875,2862700000.0
^FTSE,2020-01-02,7542.39990234375,7624.7998046875,7542.39990234375,7604.2998046875,7604.2998046875,482206700.0
^NSEI,2020-01-02,12198.5498046875,12289.900390625,12195.25,12282.2001953125,12282.2001953125,407700.0
^BSESN,2020-01-02,41340.26953125,41649.2890625,41328.44921875,41626.640625,41626.640625,5300.0
000001.SS,2020-01-02,3066.3359375,3098.10009765625,3066.3359375,3085.197998046875,3085.197998046875,292500.0
^N100,2020-01-02,1151.52001953125,1160.6600341796875,1150.9300537109375,1158.260009765625,1158.260009765625,146422800.0
^DJI,2020-01-02,28638.970703125,28872.80078125,28627.76953125,28868.80078125,28868.80078125,251820000.0
^GSPC,2020-01-02,3244.669921875,3258.139892578125,3235.530029296875,3257.85009765625,3257.85009765625,3459930000.0
GC=F,2020-01-02,1518.0999755859375,1528.699951171875,1518.0,1524.5,1524.5,214.0
CL=F,2020-01-02,61.59999847412109,61.59999847412109,60.63999938964844,61.18000030517578,61.18000030517578,486873.0
^NYA,2020-01-03,13877.48046875,13950.740234375,13870.740234375,13917.0498046875,13917.0498046875,3484700000.0
^IXIC,2020-01-03,8976.4296875,9065.759765625,8976.4296875,9020.76953125,9020.76953125,2586520000.0
^FTSE,2020-01-03,7604.2998046875,7626.39990234375,7551.0,7622.39990234375,7622.39990234375,475628900.0
^NSEI,2020-01-03,12261.099609375,12265.599609375,12191.349609375,12226.650390625,12226.650390625,428800.0
^BSESN,2020-01-03,41634.51171875,41636.1796875,41348.6796875,41464.609375,41464.609375,8900.0
000001.SS,2020-01-03,3089.02197265625,3093.819091796875,3074.51806640625,3083.785888671875,3083.785888671875,261500.0
^N100,2020-01-03,1152.3599853515625,1157.3800048828125,1148.739990234375,1157.3800048828125,1157.3800048828125,140653000.0
^DJI,2020-01-03,28553.330078125,28716.310546875,28500.359375,28634.880859375,28634.880859375,239590000.0
^GSPC,2020-01-03,3226.360107421875,3246.14990234375,3222.340087890625,3234.85009765625,3234.85009765625,3484700000.0
GC=F,2020-01-03,1530.0999755859375,1552.699951171875,1530.0999755859375,1549.199951171875,1549.199951171875,107.0
CL=F,2020-01-03,61.18000030517578,64.08999633789062,61.130001068115234,63.04999923706055,63.04999923706055,885861.0
^NYA,2020-01-06,13856.7197265625,13943.2998046875,13852.73046875,13941.7998046875,13941.7998046875,3702460000.0
^IXIC,2020-01-06,8943.5,9072.41015625,8943.5,9071.4697265625,9071.4697265625,2810450000.0
^FTSE,2020-01-06,7622.39990234375,7622.39990234375,7528.10009765625,7575.2998046875,7575.2998046875,516783400.0
^NSEI,2020-01-06,12170.599609375,12179.099609375,11974.2001953125,11993.0498046875,11993.0498046875,396500.0
^BSESN,2020-01-06,41378.33984375,41378.33984375,40613.9609375,40676.62890625,40676.62890625,8700.0
^N225,2020-01-06,23319.759765625,23365.359375,23148.529296875,23204.859375,23204.859375,72800000.0
000001.SS,2020-01-06,3070.908935546875,3107.202880859375,3065.30908203125,3083.407958984375,3083.407958984375,312600.0
^N100,2020-01-06,1148.6400146484375,1152.6199951171875,1139.8800048828125,1151.81005859375,1151.81005859375,163285900.0
^DJI,2020-01-06,28465.5,28708.01953125,28418.630859375,28703.380859375,28703.380859375,252760000.0
^GSPC,2020-01-06,3217.550048828125,3246.840087890625,3214.639892578125,3246.280029296875,3246.280029296875,3702460000.0
GC=F,2020-01-06,1580.0,1580.0,1560.4000244140625,1566.199951171875,1566.199951171875,416.0
CL=F,2020-01-06,63.709999084472656,64.72000122070312,62.63999938964844,63.27000045776367,63.27000045776367,724236.0
^NYA,2020-01-07,13911.1904296875,13923.509765625,13880.5302734375,13898.4501953125,13898.4501953125,3435910000.0
^IXIC,2020-01-07,9076.6396484375,9091.9296875,9042.5498046875,9068.580078125,9068.580078125,2381740000.0
^FTSE,2020-01-07,7575.2998046875,7604.60009765625,7562.10009765625,7573.89990234375,7573.89990234375,511576100.0
^NSEI,2020-01-07,12079.099609375,12152.150390625,12005.349609375,12052.9501953125,12052.9501953125,447800.0
^BSESN,2020-01-07,40983.0390625,41230.140625,40727.37109375,40869.46875,40869.46875,11900.0
^N225,2020-01-07,23320.119140625,23577.439453125,23299.919921875,23575.720703125,23575.720703125,64300000.0
000001.SS,2020-01-07,3085.488037109375,3105.450927734375,3084.3291015625,3104.802001953125,3104.802001953125,276600.0
^N100,2020-01-07,1155.8699951171875,1161.6099853515625,1150.6199951171875,1153.0899658203125,1153.0899658203125,160812000.0
^DJI,2020-01-07,28639.1796875,28685.5,28565.279296875,28583.6796875,28583.6796875,258900000.0
^GSPC,2020-01-07,3241.860107421875,3244.909912109375,3232.429931640625,3237.179931640625,3237.179931640625,3435910000.0
GC=F,2020-01-07,1558.300048828125,1576.300048828125,1558.300048828125,1571.800048828125,1571.800048828125,47.0
CL=F,2020-01-07,62.90999984741211,63.150001525878906,62.11000061035156,62.70000076293945,62.70000076293945,582649.0
^NYA,2020-01-08,13897.009765625,13986.6904296875,13896.58984375,13934.4404296875,13934.4404296875,3726840000.0
^IXIC,2020-01-08,9068.0302734375,9168.8896484375,9059.3798828125,9129.240234375,9129.240234375,2472620000.0
^FTSE,2020-01-08,7573.89990234375,7579.5,7525.0,7574.89990234375,7574.89990234375,606225000.0
^NSEI,2020-01-08,11939.099609375,12044.9501953125,11929.599609375,12025.349609375,12025.349609375,446000.0
^BSESN,2020-01-08,40574.828125,40866.359375,40476.55078125,40817.73828125,40817.73828125,18200.0
^N225,2020-01-08,23217.490234375,23303.2109375,22951.1796875,23204.759765625,23204.759765625,79400000.0
000001.SS,2020-01-08,3094.239013671875,3094.239013671875,3059.131103515625,3066.89306640625,3066.89306640625,297900.0
^N100,2020-01-08,1148.550048828125,1155.72998046875,1145.81005859375,1155.3800048828125,1155.3800048828125,174551200.0
^DJI,2020-01-08,28556.140625,28866.1796875,28522.509765625,28745.08984375,28745.08984375,291750000.0
^GSPC,2020-01-08,3238.590087890625,3267.070068359375,3236.669921875,3253.050048828125,3253.050048828125,3726840000.0
GC=F,2020-01-08,1579.699951171875,1604.199951171875,1552.300048828125,1557.4000244140625,1557.4000244140625,236.0
CL=F,2020-01-08,62.84000015258789,65.6500015258789,59.150001525878906,59.61000061035156,59.61000061035156,1205710.0
^NYA,2020-01-09,13974.0703125,14004.419921875,13960.169921875,13997.650390625,13997.650390625,3641230000.0
^IXIC,2020-01-09,9202.26953125,9215.9501953125,9158.5,9203.4296875,9203.4296875,2540960000.0
^FTSE,2020-01-09,7574.89990234375,7627.7998046875,7574.89990234375,7598.10009765625,7598.10009765625,653838100.0
^NSEI,2020-01-09,12153.150390625,12224.0498046875,12132.5498046875,12215.900390625,12215.900390625,477500.0
^BSESN,2020-01-09,41216.671875,41482.12109375,41175.71875,41452.3515625,41452.3515625,7800.0
^N225,2020-01-09,23530.2890625,23767.08984375,23506.150390625,23739.869140625,23739.869140625,62200000.0
000001.SS,2020-01-09,3082.639892578125,3097.3291015625,3080.131103515625,3094.882080078125,3094.882080078125,243400.0
^N100,2020-01-09,1162.2900390625,1163.800048828125,1157.3900146484375,1158.6700439453125,1158.6700439453125,188096100.0
^DJI,2020-01-09,28851.970703125,28988.009765625,28844.310546875,28956.900390625,28956.900390625,275060000.0
^GSPC,2020-01-09,3266.030029296875,3275.580078125,3263.669921875,3274.699951171875,3274.699951171875,3641230000.0
GC=F,2020-01-09,1555.699951171875,1555.699951171875,1543.300048828125,1551.699951171875,1551.699951171875,54.0
CL=F,2020-01-09,59.9900016784668,60.310001373291016,58.65999984741211,59.560001373291016,59.560001373291016,750933.0
^NYA,2020-01-10,14018.1201171875,14021.650390625,13941.51953125,13957.9697265625,13957.9697265625,3214580000.0
^IXIC,2020-01-10,9232.9501953125,9235.2001953125,9164.66015625,9178.8603515625,9178.8603515625,2382900000.0
^FTSE,2020-01-10,7598.10009765625,7632.0,7585.10009765625,7587.89990234375,7587.89990234375,651315600.0
^NSEI,2020-01-10,12271.0,12311.2001953125,12213.2001953125,12256.7998046875,12256.7998046875,660600.0
^BSESN,2020-01-10,41568.19921875,41775.109375,41447.80078125,41599.71875,41599.71875,13200.0
^N225,2020-01-10,23813.279296875,23903.2890625,23761.080078125,23850.5703125,23850.5703125,55900000.0
000001.SS,2020-01-10,3102.2939453125,3105.22509765625,3081.39599609375,3092.291015625,3092.291015625,210400.0
^N100,2020-01-10,1161.3499755859375,1161.4599609375,1156.4300537109375,1157.3299560546875,1157.3299560546875,165491000.0
^DJI,2020-01-10,28977.51953125,29009.0703125,28789.099609375,28823.76953125,28823.76953125,237830000.0
^GSPC,2020-01-10,3281.81005859375,3282.989990234375,3260.860107421875,3265.35009765625,3265.35009765625,3214580000.0
GC=F,2020-01-10,1551.199951171875,1558.800048828125,1545.4000244140625,1557.5,1557.5,16.0
CL=F,2020-01-10,59.61000061035156,59.77999877929688,58.84999847412109,59.040000915527344,59.040000915527344,596186.0
^NYA,2020-01-13,13980.4697265625,14042.650390625,13963.8701171875,14042.650390625,14042.650390625,3459390000.0
