Ticker,Date,Open,High,Low,Close,Adj Close,Volume
^NYA,2010-01-04,7184.97998046875,7331.1201171875,7184.97998046875,7326.740234375,7326.740234375,3991400000.0
^IXIC,2010-01-04,2294.409912109375,2311.14990234375,2294.409912109375,2308.419921875,2308.419921875,1931380000.0
^FTSE,2010-01-04,5412.89990234375,5500.2998046875,5410.7998046875,5500.2998046875,5500.2998046875,750942000.0
^NSEI,2010-01-04,5200.89990234375,5238.4501953125,5167.10009765625,5232.2001953125,5232.2001953125,0.0
^BSESN,2010-01-04,17473.44921875,17582.83984375,17378.380859375,17558.73046875,17558.73046875,28200.0
^N225,2010-01-04,10609.33984375,10694.490234375,10608.1396484375,10654.7900390625,10654.7900390625,104400000.0
000001.SS,2010-01-04,3289.75,3295.279052734375,3243.319091796875,3243.760009765625,3243.760009765625,109400.0
^N100,2010-01-04,686.3699951171875,696.989990234375,686.3699951171875,696.989990234375,696.989990234375,237559300.0
^DJI,2010-01-04,10430.6904296875,10604.9697265625,10430.6904296875,10583.9599609375,10583.9599609375,179780000.0
^GSPC,2010-01-04,1116.56005859375,1133.8699951171875,1116.56005859375,1132.989990234375,1132.989990234375,3991400000.0
GC=F,2010-01-04,1117.699951171875,1122.300048828125,1097.0999755859375,1117.699951171875,1117.699951171875,184.0
CL=F,2010-01-04,79.62999725341797,81.68000030517578,79.62999725341797,81.51000213623047,81.51000213623047,263542.0
^NYA,2010-01-05,7326.740234375,7359.4599609375,7313.60009765625,7354.8701171875,7354.8701171875,2491020000.0
^IXIC,2010-01-05,2307.27001953125,2313.72998046875,2295.6201171875,2308.7099609375,2308.7099609375,2367860000.0
^FTSE,2010-01-05,5500.2998046875,5536.39990234375,5480.7001953125,5522.5,5522.5,1149301200.0
^NSEI,2010-01-05,5277.14990234375,5288.35009765625,5242.39990234375,5277.89990234375,5277.89990234375,0.0
^BSESN,2010-01-05,17555.76953125,17729.779296875,17555.76953125,17686.240234375,17686.240234375,27000.0
^N225,2010-01-05,10719.4404296875,10791.0400390625,10655.5703125,10681.830078125,10681.830078125,166200000.0
000001.SS,2010-01-05,3254.468017578125,3290.511962890625,3221.4619140625,3282.178955078125,3282.178955078125,126200.0
^N100,2010-01-05,696.9099731445312,700.25,694.4400024414062,697.5700073242188,697.5700073242188,298451700.0
^DJI,2010-01-05,10584.5595703125,10584.5595703125,10522.51953125,10572.01953125,10572.01953125,188540000.0
^GSPC,2010-01-05,1132.6600341796875,1136.6300048828125,1129.6600341796875,1136.52001953125,1136.52001953125,2491020000.0
GC=F,2010-01-05,1118.0999755859375,1126.5,1115.0,1118.0999755859375,1118.0999755859375,53.0
CL=F,2010-01-05,81.62999725341797,82.0,80.94999694824219,81.7699966430664,81.7699966430664,258887.0
^NYA,2010-01-06,7354.85009765625,7389.27978515625,7342.490234375,7377.7001953125,7377.7001953125,4972660000.0
^IXIC,2010-01-06,2307.7099609375,2314.070068359375,2295.679931640625,2301.090087890625,2301.090087890625,2253340000.0
^FTSE,2010-01-06,5522.5,5536.5,5497.7001953125,5530.0,5530.0,998295300.0
^NSEI,2010-01-06,5278.14990234375,5310.85009765625,5260.0498046875,5281.7998046875,5281.7998046875,0.0
^BSESN,2010-01-06,17719.470703125,17790.330078125,17636.7109375,17701.130859375,17701.130859375,21400.0
^N225,2010-01-06,10709.5498046875,10768.6103515625,10661.169921875,10731.4501953125,10731.4501953125,181800000.0
000001.SS,2010-01-06,3277.51708984375,3295.867919921875,3253.0439453125,3254.215087890625,3254.215087890625,123600.0
^N100,2010-01-06,697.7000122070312,699.4199829101562,694.77001953125,698.27001953125,698.27001953125,223696900.0
^DJI,2010-01-06,10564.7197265625,10594.990234375,10546.5498046875,10573.6796875,10573.6796875,186040000.0
^GSPC,2010-01-06,1135.7099609375,1139.18994140625,1133.949951171875,1137.1400146484375,1137.1400146484375,4972660000.0
GC=F,2010-01-06,1135.9000244140625,1139.199951171875,1120.699951171875,1135.9000244140625,1135.9000244140625,363.0
CL=F,2010-01-06,81.43000030517578,83.5199966430664,80.8499984741211,83.18000030517578,83.18000030517578,370059.0
^NYA,2010-01-07,7377.7001953125,7398.2099609375,7325.509765625,7393.93017578125,7393.93017578125,5270680000.0
^IXIC,2010-01-07,2298.090087890625,2301.300048828125,2285.219970703125,2300.050048828125,2300.050048828125,2270050000.0
^FTSE,2010-01-07,5530.0,5551.7001953125,5499.7998046875,5526.7001953125,5526.7001953125,1162933700.0
^NSEI,2010-01-07,5281.7998046875,5302.5498046875,5244.75,5263.10009765625,5263.10009765625,0.0
^BSESN,2010-01-07,17701.970703125,17733.33984375,17566.5390625,17615.720703125,17615.720703125,18000.0
^N225,2010-01-07,10742.75,10774.0,10636.669921875,10681.66015625,10681.66015625,182600000.0
000001.SS,2010-01-07,3253.990966796875,3268.819091796875,3176.70703125,3192.77587890625,3192.77587890625,128600.0
^N100,2010-01-07,696.0700073242188,698.9099731445312,692.1699829101562,697.760009765625,697.760009765625,271033600.0
^DJI,2010-01-07,10571.1103515625,10612.3701171875,10505.2099609375,10606.8603515625,10606.8603515625,217390000.0
^GSPC,2010-01-07,1136.27001953125,1142.4599609375,1131.3199462890625,1141.68994140625,1141.68994140625,5270680000.0
GC=F,2010-01-07,1133.0999755859375,1133.0999755859375,1129.199951171875,1133.0999755859375,1133.0999755859375,56.0
CL=F,2010-01-07,83.19999694824219,83.36000061035156,82.26000213623047,82.66000366210938,82.66000366210938,246632.0
^NYA,2010-01-08,7393.93017578125,7426.41015625,7367.81005859375,7425.35009765625,7425.35009765625,4389590000.0
^IXIC,2010-01-08,2292.239990234375,2317.60009765625,2290.610107421875,2317.169921875,2317.169921875,2145390000.0
^FTSE,2010-01-08,5526.7001953125,5549.2998046875,5494.7998046875,5534.2001953125,5534.2001953125,1006420600.0
^NSEI,2010-01-08,5264.25,5276.75,5234.7001953125,5244.75,5244.75,0.0
^BSESN,2010-01-08,17603.869140625,17658.119140625,17508.9609375,17540.2890625,17540.2890625,17200.0
^N225,2010-01-08,10743.2998046875,10816.4501953125,10677.5595703125,10798.3203125,10798.3203125,211800000.0
000001.SS,2010-01-08,3177.259033203125,3198.919921875,3149.01708984375,3195.9970703125,3195.9970703125,98400.0
^N100,2010-01-08,701.3499755859375,702.6300048828125,695.8699951171875,701.3800048828125,701.3800048828125,329450900.0
^DJI,2010-01-08,10606.400390625,10619.400390625,10554.330078125,10618.1904296875,10618.1904296875,172710000.0
^GSPC,2010-01-08,1140.52001953125,1145.3900146484375,1136.219970703125,1144.97998046875,1144.97998046875,4389590000.0
GC=F,2010-01-08,1138.199951171875,1138.199951171875,1122.699951171875,1138.199951171875,1138.199951171875,54.0
CL=F,2010-01-08,82.6500015258789,83.47000122070312,81.80000305175781,82.75,82.75,310377.0
^NYA,2010-01-11,7425.60986328125,7471.31005859375,7419.56982421875,7449.0498046875,7449.0498046875,4255780000.0
^IXIC,2010-01-11,2324.780029296875,2326.280029296875,2302.2099609375,2312.409912109375,2312.409912109375,2077890000.0
^FTSE,2010-01-11,5534.2001953125,5600.5,5527.89990234375,5538.10009765625,5538.10009765625,901194900.0
^NSEI,2010-01-11,5263.7998046875,5287.2001953125,5227.7998046875,5249.39990234375,5249.39990234375,0.0
^BSESN,2010-01-11,17724.58984375,17776.5703125,17500.7890625,17526.7109375,17526.7109375,18400.0
000001.SS,2010-01-11,3301.611083984375,3306.75,3197.327880859375,3212.75,3212.75,136400.0
^N100,2010-01-11,705.6500244140625,708.1099853515625,700.1300048828125,700.719970703125,700.719970703125,286815200.0
