Ticker,Date,Open,High,Low,Close,Adj Close,Volume
^NSEI,2021-01-01,13996.099609375,14049.849609375,13991.349609375,14018.5,14018.5,358100.0
^BSESN,2021-01-01,47785.28125,47984.359375,47771.1484375,47868.98046875,47868.98046875,82700.0
^NYA,2021-01-04,14601.4501953125,14605.75,14258.25,14376.7001953125,14376.7001953125,5015000000.0
^IXIC,2021-01-04,12958.51953125,12958.7197265625,12543.240234375,12698.4501953125,12698.4501953125,6636170000.0
^FTSE,2021-01-04,6460.5,6662.7001953125,6460.5,6571.89990234375,6571.89990234375,965097800.0
^NSEI,2021-01-04,14104.349609375,14147.9501953125,13953.75,14132.900390625,14132.900390625,495000.0
^BSESN,2021-01-04,48109.171875,48220.46875,47594.46875,48176.80078125,48176.80078125,13900.0
^N225,2021-01-04,27575.5703125,27602.109375,27042.3203125,27258.380859375,27258.380859375,51500000.0
000001.SS,2021-01-04,3474.678955078125,3511.655029296875,3457.2060546875,3502.9580078125,3502.9580078125,380800.0
^N100,2021-01-04,1116.8800048828125,1124.489990234375,1109.199951171875,1112.52001953125,1112.52001953125,212061800.0
^DJI,2021-01-04,30627.470703125,30674.279296875,29881.8203125,30223.890625,30223.890625,475080000.0
^GSPC,2021-01-04,3764.610107421875,3769.989990234375,3662.7099609375,3700.64990234375,3700.64990234375,5015000000.0
GC=F,2021-01-04,1912.199951171875,1945.0999755859373,1912.199951171875,1944.699951171875,1944.699951171875,154.0
CL=F,2021-01-04,48.400001525878906,49.83000183105469,47.18000030517578,47.619998931884766,47.619998931884766,528525.0
^NYA,2021-01-05,14378.7001953125,14579.2802734375,14378.7001953125,14536.5302734375,14536.5302734375,4591020000.0
^IXIC,2021-01-05,12665.650390625,12828.26953125,12665.650390625,12818.9599609375,12818.9599609375,6971860000.0
^FTSE,2021-01-05,6571.89990234375,6622.7998046875,6544.2998046875,6612.2998046875,6612.2998046875,718950800.0
^NSEI,2021-01-05,14075.150390625,14215.599609375,14048.150390625,14199.5,14199.5,492500.0
^BSESN,2021-01-05,48037.62890625,48486.23828125,47903.37890625,48437.78125,48437.78125,12200.0
^N225,2021-01-05,27151.380859375,27279.779296875,27073.4609375,27158.630859375,27158.630859375,55000000.0
000001.SS,2021-01-05,3492.19091796875,3528.677001953125,3484.715087890625,3528.677001953125,3528.677001953125,408000.0
^N100,2021-01-05,1108.25,1116.1500244140625,1103.510009765625,1109.56005859375,1109.56005859375,218986100.0
^DJI,2021-01-05,30204.25,30504.890625,30141.779296875,30391.599609375,30391.599609375,350910000.0
^GSPC,2021-01-05,3698.02001953125,3737.830078125,3695.070068359375,3726.860107421875,3726.860107421875,4591020000.0
GC=F,2021-01-05,1941.699951171875,1952.699951171875,1941.300048828125,1952.699951171875,1952.699951171875,113.0
CL=F,2021-01-05,47.380001068115234,50.20000076293945,47.2400016784668,49.93000030517578,49.93000030517578,643191.0
^NYA,2021-01-06,14594.48046875,14898.490234375,14590.41015625,14788.83984375,14788.83984375,6064110000.0
^IXIC,2021-01-06,12666.150390625,12909.6298828125,12649.990234375,12740.7900390625,12740.7900390625,7689880000.0
^FTSE,2021-01-06,6612.2998046875,6859.10009765625,6611.89990234375,6841.89990234375,6841.89990234375,1249709500.0
^NSEI,2021-01-06,14240.9501953125,14244.150390625,14039.900390625,14146.25,14146.25,632300.0
