Ticker,Date,Open,High,Low,Close,Adj Close,Volume
^BSESN,2018-01-01,34059.98828125,34101.12890625,33766.1484375,33812.75,33812.75,7500.0
^NYA,2018-01-02,12860.9296875,12902.7197265625,12842.26953125,12902.7197265625,12902.7197265625,3397430000.0
^IXIC,2018-01-02,6937.64990234375,7006.91015625,6924.080078125,7006.89990234375,7006.89990234375,1929700000.0
^FTSE,2018-01-02,7687.7998046875,7691.2998046875,7624.10009765625,7648.10009765625,7648.10009765625,576251800.0
^NSEI,2018-01-02,10477.5498046875,10495.2001953125,10404.650390625,10442.2001953125,10442.2001953125,153400.0
^BSESN,2018-01-02,33913.55078125,33964.140625,33703.37109375,33812.26171875,33812.26171875,10600.0
000001.SS,2018-01-02,3314.031005859375,3349.052978515625,3314.031005859375,3348.325927734375,3348.325927734375,202300.0
^N100,2018-01-02,1034.1099853515625,1034.1199951171875,1024.5899658203125,1030.5999755859375,1030.5999755859375,146037200.0
^DJI,2018-01-02,24809.349609375,24864.189453125,24741.69921875,24824.009765625,24824.009765625,341130000.0
^GSPC,2018-01-02,2683.72998046875,2695.889892578125,2682.360107421875,2695.81005859375,2695.81005859375,3397430000.0
GC=F,2018-01-02,1302.300048828125,1317.5999755859375,1302.300048828125,1313.699951171875,1313.699951171875,68.0
CL=F,2018-01-02,60.20000076293945,60.7400016784668,60.09999847412109,60.369998931884766,60.369998931884766,510313.0
^NYA,2018-01-03,12910.6298828125,12963.3896484375,12906.990234375,12957.2802734375,12957.2802734375,3544030000.0
^IXIC,2018-01-03,7017.06982421875,7069.14990234375,7016.7001953125,7065.52978515625,7065.52978515625,2173130000.0
^FTSE,2018-01-03,7648.10009765625,7689.89990234375,7640.5,7671.10009765625,7671.10009765625,571662800.0
^NSEI,2018-01-03,10482.650390625,10503.599609375,10429.5498046875,10443.2001953125,10443.2001953125,167300.0
^BSESN,2018-01-03,33929.609375,33998.37109375,33765.4296875,33793.37890625,33793.37890625,9000.0
000001.SS,2018-01-03,3347.742919921875,3379.9150390625,3345.2890625,3369.10791015625,3369.10791015625,213800.0
^N100,2018-01-03,1032.0799560546875,1041.1700439453125,1031.199951171875,1038.31005859375,1038.31005859375,184032600.0
^DJI,2018-01-03,24850.44921875,24941.919921875,24825.55078125,24922.6796875,24922.6796875,456790000.0
^GSPC,2018-01-03,2697.85009765625,2714.3701171875,2697.77001953125,2713.06005859375,2713.06005859375,3544030000.0
GC=F,2018-01-03,1320.0,1320.0999755859375,1312.0999755859375,1316.199951171875,1316.199951171875,42.0
CL=F,2018-01-03,60.38999938964844,61.970001220703125,60.27999877929688,61.630001068115234,61.630001068115234,673859.0
^NYA,2018-01-04,12999.5302734375,13045.16015625,12999.5302734375,13028.4599609375,13028.4599609375,3697340000.0
^IXIC,2018-01-04,7089.5,7098.0498046875,7072.3798828125,7077.91015625,7077.91015625,2103220000.0
^FTSE,2018-01-04,7671.10009765625,7702.5,7671.10009765625,7695.89990234375,7695.89990234375,705864000.0
^NSEI,2018-01-04,10469.400390625,10513.0,10441.4501953125,10504.7998046875,10504.7998046875,174900.0
^BSESN,2018-01-04,33912.48828125,33995.3984375,33802.12890625,33969.640625,33969.640625,10500.0
^N225,2018-01-04,23073.73046875,23506.330078125,23065.19921875,23506.330078125,23506.330078125,102200000.0
000001.SS,2018-01-04,3371.0,3392.825927734375,3365.294921875,3385.7099609375,3385.7099609375,207000.0
^N100,2018-01-04,1043.3399658203125,1054.1600341796875,1043.3199462890625,1051.5799560546875,1051.5799560546875,212142500.0
^DJI,2018-01-04,24964.859375,25105.9609375,24963.26953125,25075.130859375,25075.130859375,403280000.0
^GSPC,2018-01-04,2719.31005859375,2729.2900390625,2719.070068359375,2723.989990234375,2723.989990234375,3697340000.0
GC=F,2018-01-04,1319.4000244140625,1322.0,1319.4000244140625,1319.4000244140625,1319.4000244140625,2.0
CL=F,2018-01-04,61.959999084472656,62.209999084472656,61.59000015258789,62.0099983215332,62.0099983215332,654363.0
^NYA,2018-01-05,13066.3701171875,13104.51953125,13039.080078125,13103.23046875,13103.23046875,3239280000.0
^IXIC,2018-01-05,7105.740234375,7137.0400390625,7097.080078125,7136.56005859375,7136.56005859375,2024000000.0
^FTSE,2018-01-05,7695.89990234375,7727.7001953125,7689.7998046875,7724.2001953125,7724.2001953125,636035700.0
^NSEI,2018-01-05,10534.25,10566.099609375,10520.099609375,10558.849609375,10558.849609375,180900.0
^BSESN,2018-01-05,34021.26953125,34188.8515625,34020.83984375,34153.8515625,34153.8515625,14700.0
^N225,2018-01-05,23643.0,23730.470703125,23520.51953125,23714.529296875,23714.529296875,101900000.0
000001.SS,2018-01-05,3386.464111328125,3402.069091796875,3380.2451171875,3391.75,3391.75,213100.0
^N100,2018-01-05,1053.6300048828125,1061.68994140625,1053.3499755859375,1061.68994140625,1061.68994140625,170494400.0
^DJI,2018-01-05,25114.919921875,25299.7890625,25112.009765625,25295.869140625,25295.869140625,358020000.0
^GSPC,2018-01-05,2731.330078125,2743.449951171875,2727.919921875,2743.14990234375,2743.14990234375,3239280000.0
GC=F,2018-01-05,1320.300048828125,1320.300048828125,1320.300048828125,1320.300048828125,1320.300048828125,1.0
CL=F,2018-01-05,61.900001525878906,62.040000915527344,61.09000015258789,61.43999862670898,61.43999862670898,563036.0
^NYA,2018-01-08,13096.650390625,13117.240234375,13065.240234375,13114.349609375,13114.349609375,3246160000.0
^IXIC,2018-01-08,7135.3798828125,7161.35009765625,7124.08984375,7157.39013671875,7157.39013671875,2055010000.0
^FTSE,2018-01-08,7724.2001953125,7733.39990234375,7691.7998046875,7696.5,7696.5,635135400.0
^NSEI,2018-01-08,10591.7001953125,10631.2001953125,10588.5498046875,10623.599609375,10623.599609375,169000.0
^BSESN,2018-01-08,34216.328125,34385.671875,34216.328125,34352.7890625,34352.7890625,13500.0
000001.SS,2018-01-08,3391.552978515625,3412.73095703125,3384.55908203125,3409.47998046875,3409.47998046875,236200.0
^N100,2018-01-08,1064.22998046875,1066.469970703125,1062.8800048828125,1064.02001953125,1064.02001953125,156740700.0
^DJI,2018-01-08,25308.400390625,25311.990234375,25235.41015625,25283.0,25283.0,341390000.0
^GSPC,2018-01-08,2742.669921875,2748.510009765625,2737.60009765625,2747.7099609375,2747.7099609375,3246160000.0
GC=F,2018-01-08,1319.9000244140625,1319.9000244140625,1314.5999755859375,1318.5999755859375,1318.5999755859375,41.0
CL=F,2018-01-08,61.61000061035156,61.970001220703125,61.34000015258789,61.72999954223633,61.72999954223633,616474.0
^NYA,2018-01-09,13123.830078125,13156.8798828125,13110.900390625,13120.83984375,13120.83984375,3467460000.0
^IXIC,2018-01-09,7174.18994140625,7181.14013671875,7148.2998046875,7163.580078125,7163.580078125,2155810000.0
^FTSE,2018-01-09,7696.5,7733.10009765625,7696.5,7731.0,7731.0,709674500.0
^NSEI,2018-01-09,10645.099609375,10659.150390625,10603.599609375,10637.0,10637.0,205000.0
^BSESN,2018-01-09,34431.609375,34488.03125,34343.41015625,34443.19140625,34443.19140625,11200.0
^N225,2018-01-09,23948.970703125,23952.609375,23789.029296875,23849.990234375,23849.990234375,94100000.0
000001.SS,2018-01-09,3406.112060546875,3417.22802734375,3403.5869140625,3413.89990234375,3413.89990234375,191500.0
^N100,2018-01-09,1066.5899658203125,1071.719970703125,1066.010009765625,1070.7900390625,1070.7900390625,203658200.0
^DJI,2018-01-09,25312.05078125,25439.779296875,25308.41015625,25385.80078125,25385.80078125,333490000.0
^GSPC,2018-01-09,2751.14990234375,2759.139892578125,2747.860107421875,2751.2900390625,2751.2900390625,3467460000.0
GC=F,2018-01-09,1309.5999755859375,1311.699951171875,1309.5999755859375,1311.699951171875,1311.699951171875,16.0
CL=F,2018-01-09,61.91999816894531,63.47999954223633,61.79999923706055,62.959999084472656,62.959999084472656,844720.0
^NYA,2018-01-10,13108.23046875,13131.1103515625,13070.83984375,13106.599609375,13106.599609375,3579900000.0
^IXIC,2018-01-10,7129.830078125,7154.240234375,7111.52001953125,7153.56982421875,7153.56982421875,2132430000.0
^FTSE,2018-01-10,7731.0,7756.10009765625,7716.2001953125,7748.5,7748.5,861758600.0
^NSEI,2018-01-10,10652.0498046875,10655.5,10592.7001953125,10632.2001953125,10632.2001953125,176400.0
^BSESN,2018-01-10,34538.78125,34565.62890625,34311.62890625,34433.0703125,34433.0703125,8500.0
^N225,2018-01-10,23832.810546875,23864.759765625,23755.44921875,23788.19921875,23788.19921875,88800000.0
000001.SS,2018-01-10,3414.113037109375,3430.214111328125,3398.842041015625,3421.833984375,3421.833984375,209100.0
^N100,2018-01-10,1069.7099609375,1071.760009765625,1064.219970703125,1066.6400146484375,1066.6400146484375,229715800.0
^DJI,2018-01-10,25348.130859375,25404.919921875,25256.990234375,25369.130859375,25369.130859375,341470000.0
^GSPC,2018-01-10,2745.550048828125,2750.800048828125,2736.06005859375,2748.22998046875,2748.22998046875,3579900000.0
GC=F,2018-01-10,1320.300048828125,1320.699951171875,1315.300048828125,1317.4000244140625,1317.4000244140625,70.0
CL=F,2018-01-10,63.40999984741211,63.66999816894531,63.09000015258789,63.56999969482422,63.56999969482422,697844.0
^NYA,2018-01-11,13106.599609375,13210.76953125,13106.599609375,13210.76953125,13210.76953125,3645690000.0
^IXIC,2018-01-11,7168.72998046875,7211.77978515625,7163.22998046875,7211.77978515625,7211.77978515625,2015170000.0
^FTSE,2018-01-11,7748.5,7769.0,7734.60009765625,7762.89990234375,7762.89990234375,982791800.0
^NSEI,2018-01-11,10637.0498046875,10664.599609375,10612.349609375,10651.2001953125,10651.2001953125,153800.0
^BSESN,2018-01-11,34471.48046875,34558.87890625,34400.609375,34503.48828125,34503.48828125,8100.0
^N225,2018-01-11,23656.390625,23734.970703125,23601.83984375,23710.4296875,23710.4296875,83700000.0
000001.SS,2018-01-11,3415.5849609375,3426.48291015625,3405.638916015625,3425.344970703125,3425.344970703125,173800.0
^N100,2018-01-11,1068.18994140625,1068.3399658203125,1061.0899658203125,1062.7099609375,1062.7099609375,205395100.0
^DJI,2018-01-11,25398.599609375,25575.419921875,25396.189453125,25574.73046875,25574.73046875,346830000.0
^GSPC,2018-01-11,2752.969970703125,2767.56005859375,2752.780029296875,2767.56005859375,2767.56005859375,3645690000.0
GC=F,2018-01-11,1317.0999755859375,1320.5999755859375,1316.300048828125,1320.5999755859375,1320.5999755859375,9.0
CL=F,2018-01-11,63.5,64.7699966430664,63.43000030517578,63.79999923706055,63.79999923706055,876642.0
^NYA,2018-01-12,13240.9599609375,13299.1904296875,13237.5498046875,13294.3203125,13294.3203125,3587220000.0
^IXIC,2018-01-12,7208.169921875,7265.259765625,7205.18017578125,7261.06005859375,7261.06005859375,1986600000.0
^FTSE,2018-01-12,7762.89990234375,7792.60009765625,7752.60009765625,7778.60009765625,7778.60009765625,1133867000.0
^NSEI,2018-01-12,10682.5498046875,10690.400390625,10597.099609375,10681.25,10681.25,175200.0
^BSESN,2018-01-12,34578.98828125,34638.421875,34342.16015625,34592.390625,34592.390625,7800.0
^N225,2018-01-12,23719.66015625,23743.05078125,23588.0703125,23653.8203125,23653.8203125,93700000.0
000001.SS,2018-01-12,3423.87890625,3435.424072265625,3417.97998046875,3428.94091796875,3428.94091796875,174100.0
^N100,2018-01-12,1065.030029296875,1067.0799560546875,1062.1300048828125,1066.7900390625,1066.7900390625,186627300.0
^DJI,2018-01-12,25638.390625,25810.4296875,25633.080078125,25803.189453125,25803.189453125,376390000.0
^GSPC,2018-01-12,2770.179931640625,2787.85009765625,2769.639892578125,2786.239990234375,2786.239990234375,3587220000.0
